Lying Rest',1
Playing Board Games',2
Playing Computer Games',3
Reading',4
Searching Internet',5
Watching TV',6
Light Cleaning',7
Sweeping',8
Vacuuming',9
Brisk Track Walking',10
Running Course',11
Slow Track Walking',12
Track Running',13
Walking Course',14
Walking with 10 lb backpack',15
Dance Dance Revolution',16
Jackie Chan',17
Light Space',18
Nintendo Wii',19
Trazer',20
Wall Light Space',21
Playing Catch',22
Soccer around cones',23
Sport Wall',24
Wall Ball',25
Workout Video',26
